customer_tweet_id,customer_text,reply_text,human_intent
1155264,"@AppleSupport Yes it is. Every time I try to start a new route it doesn’t go through the route calculation, ending with a request timeout",@391767 How long has this been happening? Do you still experience this after restarting the device?,app_service_issue
156019,@AppleSupport do you know when the Apple TV app/Apple TV iOS will be available outside of the US? (esp UK) - I heard it would be finally available around this time?,@150529 We appreciate your interest and encourage you to stay up to date on Apple news here: https://t.co/gbIPLOsnZd,general_inquiry
2472946,"Can't send emails from my regular @133941 account on iOS. SMTP error. Remove account, add account, still doesn't work. @AppleSupport",@707135 We'd like to take a closer look into this with you. DM us the iOS version you are currently running and we can get started. https://t.co/GDrqU22YpT,app_service_issue
1868472,"Hey @AppleSupport the iOS update messed up my iPhone 7. Calls don’t work and phone freezes up. I’d like the IPhone X as a replacement, thnx.","@558138 We’d love to help with your iPhone. To start, please send us a DM confirming which iOS 11 version you have installed. https://t.co/GDrqU22YpT",ios_software_issue
1671202,@AppleSupport downloaded 11.0.3 and now my 7 is all buggy and I’m still leasing it. No thanks. This will be my last @115858 product.,@409610 Thanks for reaching out. We have a newer iOS version available. Lets backup &amp; update to iOS 11.1: https://t.co/ahjigcvFRG,ios_software_issue
2367795,@AppleSupport Please fix the problem in the iOS 11 versions that cause phones to freeze! Having to do too many hard restarts!,@683388 We can help you get this sorted out. Can you tell us which iOS version you are currently using? DM us the response here: https://t.co/GDrqU22YpT,ios_software_issue
1471828,@AppleSupport fix your software the letter “I️” appearing as boxes fix this shit,@461646 Let's help take a closer look. Please DM us the device and version of OS you're experiencing this behavior with. https://t.co/GDrqU22YpT,ios_software_issue
2304554,". @AppleSupport you need to work on this bug, it’s a real self-esteem killer https://t.co/iwv0acDzuH",@584848 We want to help.  Follow these steps here for an accurate workout:  https://t.co/evTpsN4Raj,app_service_issue
1932931,"@AppleSupport hi, people can’t hear me unless I put it on speaker. Can you please help me",@575191 We'd be happy to look into this with you more in detail.  Please reach out to us via DM and we'll get started. https://t.co/GDrqU22YpT,device_hardware_issue
1552181,I updated my phone and I️ still get that box instead of the letter “I️” What the fuck is up @AppleSupport ???,@480276 Please send us a DM and we will go from there. https://t.co/GDrqU22YpT,ios_software_issue
2452935,@115858 why is it I can’t delete my credit card off my phone? I have a big issue with this,@702782 Thanks for reaching out. We're here to help. DM us so we can look into this further with you. https://t.co/GDrqU22YpT,billing_refund
1524166,@AppleSupport why exactly is my phone replacing the letter I with weird symbol things ?,"@444375 We'd be happy to check it out. Tell us in DM if your device is updated to iOS 11.1, please. https://t.co/GDrqU22YpT",ios_software_issue
1410770,"@AppleSupport I connected it after restarting my iPhone twice, but it did not get better. My lightning cable is new one.","@447897 Got it, thanks!. Let us know if the steps in the guide help. Also, what's the iOS version number in Settings &gt; General &gt; About?",device_hardware_issue
1960402,"@AppleSupport no spotlight function on IOS 11.0.3. This is used on a daily basis, now this function is no more and seemed very crippling.","@581475 We'd like to look into this with you. To get started, let us know what steps you're taking to access Spotlight search.",ios_software_issue
2008173,@AppleSupport needs to fix this glitch with this upgrade. Smh,@593821 We’d like to hear more about what’s happening. Send us a DM with which device you have and the iOS version it’s running. https://t.co/GDrqU22YpT,ios_software_issue
1557605,@115858 fix this symbol BS immediately,@481470 We'll be glad to help you. Can you tell us a bit more about what you're experiencing? Please DM us. https://t.co/GDrqU22YpT,ios_software_issue
2683827,@AppleSupport I think the #greenline suits my new #iPhoneX. What do I do now? https://t.co/OdBO7lh9J5,"@754857 We'd love to help. Is this line visible on all screens, including when booting up and the Apple logo shows?  Does this line persist after a restart?",device_hardware_issue
1456632,@AppleSupport photos deleted unexpectedly and phone is now stuck into restore mode but phone is unable to restore error code 6.,@458085 Let's take a look at this together so you can get back to enjoying your iPhone. What kind of computer are you using?,device_hardware_issue
1339673,"@AppleSupport Hi, i have problem to download application from the app store. Can you help?",@432482 We’d be happy to lend a hand. What happens when you try to download an app? Please let us know which device and iOS you’re using.,app_store_purchase
977654,@AppleSupport can you advise if this is fake? https://t.co/HURnabdVCf,@351879 Thanks for reaching out. This article here can provide some useful info about this https://t.co/fnHpGwmHAD,general_inquiry
756510,@AppleSupport Any reason songs that are the same volume on phone would have wildly different volumes when played from a 1st gen watch? Fixed in series 3?,@537514 We would like to better understand what your issue is. Can you please send us a DM with details about the issue? https://t.co/GDrqU22YpT,app_service_issue
2012124,@AppleSupport I requested an account recover on Sunday. How long does this take exactly?,@594974 Thanks for reaching out! This article will explain more about the account recovery process: https://t.co/nXAGZj0EE7,apple_id_account
1474682,hey @115858 why did this update fuck up my phone? i️ can’t type i️ think anymore bc it just corrects to a stupid “A [question box]”,@458809 We'd like to help. Let's meet in DM to start. https://t.co/GDrqU22YpT,ios_software_issue
1219198,IOS vai atualizar mais não ? Meus bug continua viu @115858,"@406052 Since our Twitter support is available in English, get help at https://t.co/IBIY3vMgPj or join https://t.co/pvaOFfPbjt",ios_software_issue
1521241,@AppleSupport my late 2012 MBP 15” retina laptop keeps shutting down at about 30% battery and won’t re-start saying no battery remaining,@418182 We'll be happy to look into your battery concerns. Do you have the AC Adapter connected when attempting to restart?,battery_power_issue
321799,"@AppleSupport well, now i’m having problems with battery life and charging. What is going on with the battery and the iOS11(xxxxx) updates?",@192661 We'd like to help. Please DM us your Apple device and we'll get started. https://t.co/GDrqU22YpT,battery_power_issue
1162030,Until this ios11 glitch is fixed. @115858 we sending our bills to you 😂,@393400 We want to help. Can you tell us what you are experiencing? DM us. https://t.co/GDrqU22YpT,ios_software_issue
271601,"@AppleSupport IOS 11 is draining out my IPhone 7 battery! Are you doing something about it?
Too many malfunctions!","@180814 Hey Jaime, we received your DM. Be on the lookout for a response shortly.",battery_power_issue
1967697,ok @115858 @115858 @115858 @115858 WHY DID YOU TRY TO BURN MY CAR DOWN. Please explain. https://t.co/4ncP4xIiux,"@583066 Hey, there. We certainly want to work with you to look into some options. Let's meet in DM and we'll go from there. https://t.co/GDrqU22YpT",device_hardware_issue
1203429,@AppleSupport i purchased an iphone 8+ yesterday and my contacts appeared on my new phone after I entered my apple i.d. this a new feature?,@133448 Sounds like you might be syncing your contacts with iCloud. You can learn more about the feature here: https://t.co/8ZSfY0yp6j,icloud_issue
253490,@AppleSupport Yes installed the 11.0.2,"@162107 Does your iPhone tend to shut down when using a specific app? DM us with details, and we'll sort this out together: https://t.co/GDrqU22YpT",ios_software_issue
39686,I can’t send photos any more with the new iOS. Any thoughts @AppleSupport?,"@124689 Let’s partner to figure this out. Tell us which device you’re using, and the version of iOS 11 it’s on to start.",ios_software_issue
1028434,"@AppleSupport No, the third screen shot attached is actually the first taken. You can try the same steps on iPhone 6.","@320539 When you turn off Bluetooth and Wi-Fi, are you doing that from Settings or the Control Center? Let us know in DM. https://t.co/GDrqU22YpT",connectivity_issue
486257,@AppleSupport hi Apple. Why does the clock on my lock screen disappear on my new iPhone 7? https://t.co/VKKKOr4ka8,@230689 We want to help. Please DM us how often you're seeing this happen and if a restart seems to help. https://t.co/GDrqU22YpT,ios_software_issue
1743514,Ugh @115858 whats going on with you? 4yrs &amp; never an issue w/iOS. I update to iOS11.1 &amp; my phone keeps rebooting. Black screen w/spinning :/,@525876 We'd like to look into this with you. Can you tell us when you updated and if this started immediately after updating?,ios_software_issue
1741627,@AppleSupport when y’all gonna fix this “I️” shit?!?!,@525422 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,ios_software_issue
2296308,@115948 @115858 @AppleSupport,"@666707 We recently released an iOS update, 11.1.1, that contains a fix for autocorrect issues. Let’s be sure to back up your device prior to updating. Follow the steps here: https://t.co/80YRnjDFDk",ios_software_issue
1693344,@AppleSupport why is this happening on my new MacBook Pro? https://t.co/ptmW2mO6yJ,@513890 We'd like to help! Send us a DM with the country that you are located in to continue. https://t.co/GDrqU22YpT,general_inquiry
1188309,"@AppleSupport Checked ""Calculate All Sizes"" in Finder, but my large files read Zero Bytes. This isn't helpful. Is there a way to show size?",@399443 We'd be happy to assist with Finder. Can you DM us the exact version of macOS you are running? https://t.co/GDrqU22YpT,general_inquiry
356440,@115858 the FIFA app is not working with your latest update.  Please fix. https://t.co/qWbJJRvvJx,"@200632 Thanks for reaching out to us, we want to help. Let's start by checking the App Store to see if there is an update.",general_inquiry
2035315,@AppleSupport need some help please! My iPhone &amp; iPad sync pics but now this is happening on my iPad . What can I do? https://t.co/yaehWh3BUL,"@434284 We’ll partner up on this. First, did you make any recent changes or updates to your iPad? Let us know in DM. https://t.co/GDrqU22YpT",icloud_issue
1144193,@AppleSupport Hey how much time is expected to raise the application on the store App Store,@389301 We want to see how we can help. Are you experiencing delays in response when using the App Store? Provide us more details.,app_store_purchase
1244439,@AppleSupport 11.0.3 ever since it updated. It’s ridiculous.,@284432 How long has it been since you've updated the iOS? Was it as recent as today?,ios_software_issue
1990258,@AppleSupport I’m need for everyone at  that’s over iOS 11.1 to fix this bug issue that’s going on ASAP ! This is ridiculous🤦🏾‍♂️,@589006 Thanks for reaching out! What kind of issues are you experiencing with the new update? Let us know in DM to proceed. https://t.co/GDrqU22YpT,ios_software_issue
2273912,"|| That autocorrect shit will be the death of me. Fucking hate it with a fucking passion. @AppleSupport, I’m tired of making update after update to only keep finding bugs. i also hate that it requires WiFi. I need y’all to reimburse my month’s pay of service to T-mobile.","@661399 We understand your concern over this, and we'd like to help. A fix for this issue was released in iOS 11.1.1. Have you had a chance to update? If not, we suggest making sure you have a current backup and completing the update. Let us know if you have questions.",ios_software_issue
1696027,Apparently @115858's been charging me for apps that aren't even on my phone 😩,"@514539 Hey there. If you have unused subscriptions you'd like to cancel, check out these steps: https://t.co/YKDbvueXrq https://t.co/GDrqU22YpT",billing_refund
1521210,@AppleSupport iPhone 6s has no cellular! Antenna issue? Any options other than replacing? Phone is only a year old!,@472843 Hey. We're here to help you. Have you checked out this article: https://t.co/5KootZbxj1 Let us know if this helps.,connectivity_issue
1649511,Alright @115858 time to fix this dumbass glitch with the I's when I️ type.,@503854 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,ios_software_issue
1155204,"@AppleSupport the screen/data turned on; no matter what I'd be doing, the battery doesn't behave as it used to do on iOS 10","@141072 Let's adjust the settings to maximize battery life, using this link: https://t.co/bivpdfBNJ6 DM us if the issue persists. https://t.co/GDrqU22YpT",battery_power_issue
1585347,@AppleSupport what’s up with this “I️” issue. It’s annoying,@153508  Thanks for reaching out to us about your keyboard. We recommend checking out this link: https://t.co/xU1AGHStV6,ios_software_issue
2286932,when is @115858 gonna fix this I️ shit??,@397957 There is a new iOS update available that includes a fix for autocorrect issues in the update. It’s iOS 11.1.1. You’ll want to back up your device before any update. How to back up: https://t.co/SvttV2Kc1r,ios_software_issue
1356390,". @115858 online chat not working, call in and it hangs up on you. I want to fix the incorrect shipping address! You're killing me smalls.",@390987 Our online store support team will be the ones to handle it. Please try contacting them again.,general_inquiry
2205952,@AppleSupport @644987 My MAC had been updating for 22 hours...then crashed,"@644986 We'd like to help. By any chance prior to attempting the update, did you have an existing backup of your data through Time Machine? Here's our support article with more information about Time Machine: https://t.co/akF5bbnAQt",general_inquiry
2309079,@AppleSupport yes never like this before.,@669748 Thank you. Please shoot us a DM and tell us what version of iOS you see under Settings &gt; General &gt; About &gt; Version. We'll meet you there to help. https://t.co/GDrqU22YpT,general_inquiry
1656623,Awesome @115858 I have a 1200 FUCKING PAPER WEIGHT AND YOU FUCKS CANT DO ANYTHING ABOUT IT!!!,@505512 We want to help! DM us and let us know more about the issues you are having. https://t.co/GDrqU22YpT,device_hardware_issue
2700945,"@AppleSupport terrible battery life cos of your ios 11 &amp; following updates!u still haven’t rectified the common complaint, moving to Android",@758718 We can certainly help with this from here. Are you having problems charging your iPhone battery or is your battery not lasting as long as expected?,battery_power_issue
755743,"@AppleSupport The steps show me how to delete the profile, which I already did. It’s still showing an update for beta",@300636 Let's take a look at this together in DM. https://t.co/GDrqU22YpT,ios_software_issue
327316,My iPhone battery is seriously tripping. Haven't even touched it and it somehow has drained 60% of it's battery life. Help me @115858.,@194017 We can look into this with you. We know how important it is to keep your iPhone powered. Let's work together in DM. https://t.co/GDrqU22YpT,battery_power_issue
2615325,@AppleSupport I have paypal set as my payment method so why does this pop up?? https://t.co/OokV4CkFI4,@261295 Let's team up and work this out together. Please meet us in DM and we'll be happy to take a closer look into this with you. https://t.co/GDrqU22YpT,billing_refund
1535042,@AppleSupport plz tell me why I can’t buy a iPhone X on ur website with T-Mobile.....now I have to wait longer,@476023 We'd love to help and recommend contacting our Sales team to see if they can help: https://t.co/8yjRd1Xo0i,general_inquiry
