customer_tweet_id,customer_text,reply_text,intent
299664,@AppleSupport terrible cracking sound in calls especially while using speaker,@187430 We want to help. What device is this occurring with? What version of iOS is the device running?,technical_issue
1341785,@AppleSupport Its rock,"@432966 Let's change to Bass Booster and let us know if this helps, please.",technical_issue
1052183,@115858 WTF apple!!! My iPhone 7 keeps on crashing! Do your job! The hell!!!,@368652 We're here to help. What iOS version are you currently running on your device?,device_issue
2279890,"@AppleSupport Okay, thanks for the official information",@662809 Let us know if we can be of further assistance in the future. Take care.,general_inquiry
1205029,"@AppleSupport and ipad air 2 (os 10.x ) (iphone 6plus with ios 8.3.x original OS since purchase the phone, never update)","@403037 Thanks for clarifying. If you are having issue with a purchase, you can also submit a request using this article: https://t.co/A5QhKRZhQQYou may also see improvement by updating your device following this article: https://t.co/80YRnjDFDk",billing_issue
543643,@AppleSupport https://t.co/8nlHMnzgx0,@246272 Hi. we'd love to help you get this resolved. Please follow the steps listed in this article: https://t.co/osZOKKTalm,technical_issue
323405,Dear @115858 please fix the mess you created with the newest &amp; worst update ever! Battery life is shit now - thanks for that 😡,@193013 We're here to assist.  Please reach out to us via DM and we'll get started. https://t.co/GDrqU22YpT,technical_issue
1717621,"@AppleSupport hello. Every since updating my I Phone to the latest IOS, my battery life has been absolutely horrendous 🤷🏼‍♂️🤷🏼‍♂️🤷🏼‍♂️","@484733 We want to help you with your iPhone's battery life. DM us, and we'll look into this. https://t.co/GDrqU22YpT",technical_issue
1232226,@AppleSupport Should this latest update really take 5 hours? Or is there a known fault here? https://t.co/zL2BeHXHO2,@408998 We'd like to take a look at this with you. Let's continue our conversation in DM. https://t.co/GDrqU2kzhr,technical_issue
415153,@115858 ur auto dimming &amp; auto brightness is annoying I’m Switchin to Samsung soon yall are dropping the ball makin ppl pay all this money 😑😑,"@213993 In iOS 11, you can turn auto-brightness on or off in Settings &gt; General &gt; Accessibility &gt; Display Accommodations.",billing_issue
1670167,@AppleSupport why can't I use my Apple giftcard to pay for my music service???,@508448 We'd like to help! Check out this article: https://t.co/geAmnC2JAt,technical_issue
2806668,@AppleSupport Updating to MacOS High Sierra v. 10.13.1 brought the “I” bug to my MacBook Air. 😐,@782790 Let's look into this for you. Are you seeing it when you type or are you just seeing it from other peoples' posts? Let us know in DM. https://t.co/GDrqU22YpT,technical_issue
1202871,@115858 @AppleSupport The worst thing that would ever happen to an iPhone 7 is the iOS 11.0.3 update! #iOS11 #Bugs #Lag Thank You,@375955 We want to help. Send us a DM letting us know more about what's going on. https://t.co/GDrqU22YpT,device_issue
2751508,"@AppleSupport My microphone produces nothing it’s the receiver who gets the noise and can’t hear me 😞 it happens in multiple locations to all numbers on FaceTime/facebook/phone, but @118101 said they couldn’t replicate the fault and said was no a software/hardware issues 😞","@770302 We've got your back and will do everything we can to get this resolved. Send us a DM, using the link below, with your iPhone model and iOS Version from Settings &gt; General &gt; About. We'll meet you there to continue. https://t.co/GDrqU22YpT",billing_issue
1951608,@579587 @1313 @115858 I’ve been asking the same question over and over again..no response yet..really frustrating we're not receiving support on this platform,"@579586 We're here to help. Send us a DM letting us know more about what you're experiencing, and the country you're located in. https://t.co/GDrqU22YpT",technical_issue
283598,@AppleSupport needs to tell me why only their phones are kicking me off of wifi but my laptop is perfectly fine.,@183558 We can help with Wi-Fi.  How many devices are having issues?  Is this a home network?,technical_issue
2291537,@AppleSupport Everything is good now thanks for your help,@665530 You're most welcome.,technical_issue
