customer_tweet_id,customer_id,customer_created_at,customer_text,reply_tweet_id,reply_created_at,reply_text,cluster
964039,348819,Wed Oct 11 14:09:08 +0000 2017,": At times I experience a glitch where, time and notifications are not displayed before unlocking the device.",964037,Wed Oct 11 15:35:00 +0000 2017,@348819 We want to help. How often is this happening? What version of iOS are you running?,0
2296174,666673,Sun Nov 12 20:06:46 +0000 2017,"Now I have to take a charger to charge the charger to charge the charger for my shit battery life, I’m running out of pockets here can you sort it out or I’ll need a mobility scooter.",2296173,Sun Nov 12 21:24:32 +0000 2017,@666673 We want to help. Please DM us details on which device and OS you have and we'll look into these battery life issues you're having. https://t.co/GDrqU22YpT,0
2032491,601017,Tue Nov 07 10:08:46 +0000 2017,With this new update it’s never comes off charge,2032490,Tue Nov 07 15:46:30 +0000 2017,"@601017 We'd be happy to look at your battery with you. Please meet us in DM so we may gather information, and better assist. https://t.co/GDrqU22YpT",0
1947679,126155,Mon Oct 30 12:24:24 +0000 2017,I just sent one text and my battery went down 12%. Hey Apple can y’all GET IT TOGETHER PLEASE,1947678,Mon Oct 30 13:52:27 +0000 2017,@126155 We can help with battery life. Could you Direct Message us and let us know what country you're located in? https://t.co/GDrqU22YpT,0
1531034,474973,Tue Oct 17 01:29:41 +0000 2017,I updated my iPhone 6S to iOS 11 and the new Podcast App does not appear to let me view or edit my queue. Please help or fix.,1531032,Tue Oct 17 01:37:57 +0000 2017,@474973 We'd love to offer our help. Are you referencing curating your Up Next queue?,0
2185498,640052,Thu Nov 09 16:51:20 +0000 2017,whywhen I️ updated my phone can I️ only get audio through facetime? Why does my phone run slower? Why does messenger freeze up? This os is horrible how do I️ go bacc?!,2185497,Thu Nov 09 18:23:00 +0000 2017,@640052 We're here for you. We know it's important for your iPhone to work as expected and we're here to help. Can you let us know which version of the iOS you're running? You can find this information by tapping Settings &gt; General &gt; About.,0
2020909,597660,Sun Nov 05 23:57:28 +0000 2017,I️ 👈🏽 y’all gone fix this?,2020908,Mon Nov 06 01:36:00 +0000 2017,@597660 Thanks for reaching out. We have a workaround for this here: https://t.co/xXaXeeSRt9 DM us if you still need help. https://t.co/GDrqU22YpT,0
2841945,188509,Mon Nov 27 16:47:00 +0000 2017,Unable to enable your 2FA via text or phone. Seems the code will not work.,2841944,Mon Nov 27 16:53:27 +0000 2017,@188509 We want to help. Let's continue in DM. https://t.co/GDrqU22YpT,0
1694901,514242,Tue Oct 17 17:02:34 +0000 2017,While on the charger my battery fell from 96% to 86%... ON THE CHARGER! Smh yo fix this I’ve been a faithful customer for years 😒 1/2,1694899,Tue Oct 17 17:13:35 +0000 2017,@514242 We'd like to help. When did you notice the issue? Have you tried restarting the device since the issue?,0
966847,174817,Sat Oct 21 22:08:17 +0000 2017,my phone keeps turning my wifi and Bluetooth on when I don’t want them on. How do I stop that?,966845,Sun Oct 22 00:01:50 +0000 2017,@174817 Help is here! How are you disabling Wi-Fi and Bluetooth?,0
757846,301099,Wed Oct 11 18:38:40 +0000 2017,I need to update a app It says I need ios 10.3.3 but I already have it. Please may I have some help!,757843,Wed Oct 11 19:07:27 +0000 2017,@301099 We know how much we like to keep our apps up to date. Let's look into this together. Have you restarted your device?,0
2002652,592180,Fri Nov 03 18:32:39 +0000 2017,Wtf is this,2002651,Fri Nov 03 22:35:00 +0000 2017,@592180 We'd be happy to look into this for you. Send us a DM to tell us if this happens in all apps or just Messages? https://t.co/GDrqU22YpT,0
2945787,813689,Wed Nov 29 12:25:15 +0000 2017,Test des écouteurs iPhone 📱: du son mais micro mort.... Test du casque beats : du son mais plus trop. Les premiers ont moins d’un an et les seconds 2 ans... #ObsolescenceProgrammee,2945786,Wed Nov 29 15:21:32 +0000 2017,@813689 We offer support via Twitter in English. Contact us for help in your preferred language here: https://t.co/IBIY3vMgPj,0
2731284,765670,Mon Nov 20 15:35:10 +0000 2017,"bought my iPhone less than 6 months ago and it doesn’t work with group messages, calls, etc. called support, wiped and re loaded software, still broke and support won’t help. No external or water damage. Need a new phone, whatcha gonna do to fix that?",2731283,Mon Nov 20 15:47:15 +0000 2017,@765670 We'll gladly take a look into it. Please send us a DM so we may better assist you. https://t.co/GDrqU22YpT,0
795259,309604,Thu Oct 12 10:38:12 +0000 2017,"Is there a way to turn off not getting notifications while driving? I’m on a train, not driving",795257,Thu Oct 12 14:22:00 +0000 2017,@309604 You can. Check this link for all you need to know on the Do Not Disturb while driving feature: https://t.co/QstFp9c5ZE,0
1773411,532994,Wed Nov 15 15:34:20 +0000 2017,I’m using 11.1(15B93) I don’t see anything like that.. also the phone hangs a few times.. not enjoying it.,1773412,Wed Nov 15 16:36:32 +0000 2017,"@532994 OK great, thanks for checking that. Next we can take a deeper look to see what is using the battery. Send us a DM to continue. https://t.co/GDrqU22YpT",0
817870,314796,Sun Oct 08 16:32:16 +0000 2017,can u please fix the German voicetrack for ‚King Arthur - legend of the sword‘? German Language is simply missing?!,817869,Sun Oct 08 18:35:29 +0000 2017,@314796 We’d like to help. Can you let us know more details about the content via DM? Did this work in the past? https://t.co/GDrqU22YpT,0
