customer_text,human_intent,predicted_intent
"@AppleSupport Yes it is. Every time I try to start a new route it doesn’t go through the route calculation, ending with a request timeout",app_service_issue,device_hardware_issue
@AppleSupport do you know when the Apple TV app/Apple TV iOS will be available outside of the US? (esp UK) - I heard it would be finally available around this time?,general_inquiry,ios_software_issue
"Can't send emails from my regular @133941 account on iOS. SMTP error. Remove account, add account, still doesn't work. @AppleSupport",app_service_issue,billing_refund
"Hey @AppleSupport the iOS update messed up my iPhone 7. Calls don’t work and phone freezes up. I’d like the IPhone X as a replacement, thnx.",ios_software_issue,general_inquiry
". @AppleSupport you need to work on this bug, it’s a real self-esteem killer https://t.co/iwv0acDzuH",app_service_issue,general_inquiry
"@AppleSupport hi, people can’t hear me unless I put it on speaker. Can you please help me",device_hardware_issue,general_inquiry
@115858 why is it I can’t delete my credit card off my phone? I have a big issue with this,billing_refund,connectivity_issue
"@AppleSupport I connected it after restarting my iPhone twice, but it did not get better. My lightning cable is new one.",device_hardware_issue,general_inquiry
@AppleSupport needs to fix this glitch with this upgrade. Smh,ios_software_issue,general_inquiry
@115858 fix this symbol BS immediately,ios_software_issue,general_inquiry
@AppleSupport I think the #greenline suits my new #iPhoneX. What do I do now? https://t.co/OdBO7lh9J5,device_hardware_issue,general_inquiry
@AppleSupport photos deleted unexpectedly and phone is now stuck into restore mode but phone is unable to restore error code 6.,device_hardware_issue,general_inquiry
"@AppleSupport Hi, i have problem to download application from the app store. Can you help?",app_store_purchase,general_inquiry
@AppleSupport Any reason songs that are the same volume on phone would have wildly different volumes when played from a 1st gen watch? Fixed in series 3?,app_service_issue,general_inquiry
@AppleSupport I requested an account recover on Sunday. How long does this take exactly?,apple_id_account,billing_refund
ok @115858 @115858 @115858 @115858 WHY DID YOU TRY TO BURN MY CAR DOWN. Please explain. https://t.co/4ncP4xIiux,device_hardware_issue,general_inquiry
@AppleSupport i purchased an iphone 8+ yesterday and my contacts appeared on my new phone after I entered my apple i.d. this a new feature?,icloud_issue,device_hardware_issue
@AppleSupport Yes installed the 11.0.2,ios_software_issue,general_inquiry
I can’t send photos any more with the new iOS. Any thoughts @AppleSupport?,ios_software_issue,device_hardware_issue
"@AppleSupport No, the third screen shot attached is actually the first taken. You can try the same steps on iPhone 6.",connectivity_issue,general_inquiry
@AppleSupport when y’all gonna fix this “I️” shit?!?!,ios_software_issue,general_inquiry
@115948 @115858 @AppleSupport,ios_software_issue,device_hardware_issue
"@AppleSupport Checked ""Calculate All Sizes"" in Finder, but my large files read Zero Bytes. This isn't helpful. Is there a way to show size?",general_inquiry,app_store_purchase
@115858 the FIFA app is not working with your latest update.  Please fix. https://t.co/qWbJJRvvJx,general_inquiry,app_store_purchase
@AppleSupport need some help please! My iPhone &amp; iPad sync pics but now this is happening on my iPad . What can I do? https://t.co/yaehWh3BUL,icloud_issue,ios_software_issue
@AppleSupport Hey how much time is expected to raise the application on the store App Store,app_store_purchase,general_inquiry
"|| That autocorrect shit will be the death of me. Fucking hate it with a fucking passion. @AppleSupport, I’m tired of making update after update to only keep finding bugs. i also hate that it requires WiFi. I need y’all to reimburse my month’s pay of service to T-mobile.",ios_software_issue,battery_power_issue
Apparently @115858's been charging me for apps that aren't even on my phone 😩,billing_refund,general_inquiry
@AppleSupport iPhone 6s has no cellular! Antenna issue? Any options other than replacing? Phone is only a year old!,connectivity_issue,ios_software_issue
@AppleSupport what’s up with this “I️” issue. It’s annoying,ios_software_issue,general_inquiry
when is @115858 gonna fix this I️ shit??,ios_software_issue,general_inquiry
". @115858 online chat not working, call in and it hangs up on you. I want to fix the incorrect shipping address! You're killing me smalls.",general_inquiry,device_hardware_issue
Awesome @115858 I have a 1200 FUCKING PAPER WEIGHT AND YOU FUCKS CANT DO ANYTHING ABOUT IT!!!,device_hardware_issue,general_inquiry
@AppleSupport I have paypal set as my payment method so why does this pop up?? https://t.co/OokV4CkFI4,billing_refund,general_inquiry
@AppleSupport plz tell me why I can’t buy a iPhone X on ur website with T-Mobile.....now I have to wait longer,general_inquiry,app_store_purchase
"@AppleSupport It’s just my home screen that changes, when no apps are open or in background",ios_software_issue,icloud_issue
fix the letter i @AppleSupport,ios_software_issue,general_inquiry
@AppleSupport what gives?! Constantly I have songs downloaded to my phone and added to a play list then they simply disappear and have to download again?!! https://t.co/JNUIuNFMZJ,app_service_issue,ios_software_issue
"Caroline hates this I️ thing. So Caroline will be speaking in third person about herself until further notice. Also, fuck you @115858",ios_software_issue,general_inquiry
Will there be another update @115858 soon? It would be nice if my phone could relay all vowels.,ios_software_issue,battery_power_issue
@AppleSupport I had to reboot it in order for it to work again. I can’t even turn off my phone because it’s hanging. Pls pls fix this,ios_software_issue,general_inquiry
"Dear @115858 

This phone was too expensive for the damn “i” to be broken. The fuck 😒",ios_software_issue,general_inquiry
Hey @115858! Love my iPhone X.  Some of my apps are crashing.  How long could these apps take to update to your new technology?,app_service_issue,general_inquiry
I left my house at 12  with my phone at 90% and my phone is on 7% @115858 fix ur phones,battery_power_issue,general_inquiry
Good God @AppleSupport I️ need an update,ios_software_issue,battery_power_issue
Can you explain this?! @115858 @AppleSupport https://t.co/rQC71MLKnL,device_hardware_issue,general_inquiry
So freaking tired of my iPhone 6S Plus after upgrading to iOS 11 and using it for months now. My phone’s screen freezes too out of nowhere and randomly taps on-screen buttons. It’s so unusable and frustrating. Fix it ASAP @115858 @AppleSupport,device_hardware_issue,ios_software_issue
"@AppleSupport Thanks for your prompt respond, i manage to update my device. However, i still find sometimes whenever i click, i hardly fire up the apps.",ios_software_issue,general_inquiry
@AppleSupport @474356 My phone will simply not activate. Went to ATT and got a new sim... nothing. Is the server completely overloaded over there?,connectivity_issue,general_inquiry
