customer_tweet_id,customer_text,reply_text,human_intent
1014373,@AppleSupport I fixed it don't worry I basically should be an apple genius,@360024 We are happy to hear it's fixed. Please feel free to reach out if you need us in the future.,general_inquiry
2049879,"@AppleSupport Sure have. Error occurred again this am. Notification when turned phone on, no message to be found on device and no notification to open",@606181 Let's continue troubleshooting this in DM. Let us know which country you're in and we'll go from there. https://t.co/GDrqU2kzhr,general_inquiry
710067,@AppleSupport thanks for turning my fully functioning phone into a useless piece of crap with your new update 👍🏼,"@289787 We'd be happy to help look into any issues you're experiencing. Send us a DM, and we'll get started there. https://t.co/GDrqU22YpT",ios_software_issue
2311352,new update is a piece of fuckig shit. my phones Bluetooth connection is wank. sort it out @115858,@670330 We want to help address any issues you're having. Please DM us. https://t.co/GDrqU22YpT,connectivity_issue
2435299,@AppleSupport I can’t hear the other end and they can’t hear me,@553945 What do you see when you hit the volume up and down buttons on the phone?,general_inquiry
1671196,@115858 fix the “I️” issue. It’s getting so annoying!,@508693 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/ryJAexrcMg,general_inquiry
1896122,"@AppleSupport since updat to new iOS my phone battery barely lasts 3 hours, charge to 45% with 10 minutes of using it back down 22%???","@565155 Let's work on this together. Here are a few tips to improve battery life, try them out, then DM us: https://t.co/bivpdfBNJ6 https://t.co/GDrqU22YpT",battery_power_issue
2949575,"@AppleSupport hello, I've received an email which I think is spam, do you have a department that deals with phishing emails? I can't see any details in my Apple account relating to the subscription I've apparently taken out - I've not clicked anything in the email.","@814566 Thanks for reaching out. For help identifying and reporting a phishing email, check out the following link: https://t.co/LNMCdqt6fD Please DM us if this does not help: https://t.co/GDrqU22YpT",general_inquiry
1978470,"why is @115858 Store #GeniusBar appt always so painful!! replacement powerbeats headphones only have 90d warranty, broken again! 😣",@585803 We'd like to better understand what's happening to see how we can help over Twitter. Please DM us more details here: https://t.co/GDrqU22YpT,general_inquiry
1078534,"@AppleSupport Issue seems to be caused by connecting my phone to my car via bluetooth. Once it finally connects, my iPhone music player becomes unusable.",@374419 Thank your for keeping us updated. Please DM us and we can continue from there. https://t.co/GDrqU22YpT,connectivity_issue
282836,"@AppleSupport Ever since I upgraded my iPad Pro to iOS 11 &amp; 11.0.2, I haven’t been able to open OXF files in MoneyWiz.",@183381 Is that the only app giving you issues? DM us the details. https://t.co/GDrqU22YpT,ios_software_issue
2831823,"@788462 @115858 A mi iOS 11.1.2 (en un iPhone 7) me está dando bastantes problemas con las apps. Además, la pantalla se congela de tanto en tanto. Mal.",@789357 We offer support via Twitter in English. Get help in Spanish here: https://t.co/IBIY3vMgPj or join https://t.co/OczyRx7IOs,ios_software_issue
2027825,It's pretty clear that @115858 is forcing me to head to the phone store by making my old iPhone completely insane... #iphoneXonsomebullshit,@599656 Hey there! We'd be happy to look into any problems you're having. Shoot us a DM and we'll go from there. https://t.co/GDrqU22YpT,general_inquiry
1497981,@AppleSupport Yeah have the latest version just DM me,@467801 Please join us in DM. https://t.co/GDrqU22YpT,ios_software_issue
1724413,@521569 @AppleSupport Idk how to fix those « I️ »,@521568 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/qODbOsp4wz,general_inquiry
1222687,Dear @115858 is there a reason why my cell last 20mins now after I have updated my 6splus? Is there a lesson on ways to save power? Thank you,@406907 We can help. Have you taken these steps? https://t.co/bivpdfBNJ6,ios_software_issue
92777,"@AppleSupport A complete muck up from High Sierra. Desktop now will not boot up, will not start in Safe Mode, or any mode. Cannot access Disk Utility. Looks like your Apple software ate itself and loads of pre-2014 computers. Whaaaat?",@136096 Let's help get your Mac up and running again. Tell us in more detail what happens when you start the Mac. What do you see on the screen?,ios_software_issue
2456124,@AppleSupport Hi. There was a recall on the world adapters in 2016. Just wondering if this is still in effect? Or is the recall over?,"@701367 The program is still active, you can find the specifics here: https://t.co/L5WQANHfAr 

Let us know in DM if you have any questions. https://t.co/GDrqU22YpT",general_inquiry
1920222,"How I furiously HATE @115858 and their namesake of an operating system.

The error I get when I choose to open an xls file with LibreOffice.. https://t.co/LFqs2OPche","@571653 Have you checked your security settings and tried changing those? If not, reach out to us via DM and we can take a look. https://t.co/GDrqU22YpT",general_inquiry
2024270,What the fuck is wrong with my phone @115858,@598657 Let’s work together to find out and get it fixed. Can you tell us a bit more about what is happening? DM us here: https://t.co/GDrqU22YpT,general_inquiry
2429234,"@AppleSupport @129913 To summarize, I’m disgusted by: 
• Beats 
• iPhone 
• Apple Watch",@697422 That’s not the experience we want you to have with your devices. Let’s team up to get these issues addressed. Could you let us know more details via a DM? We’ll keep moving from there. https://t.co/GDrqU22YpT,general_inquiry
2281243,@139938 anyone else having issues sending emails from @115858 devices? #NotSending,@663122 Thank you for reaching out to us. We'd be happy to look into this with you. Can you give us some more details? What happens when you try to send an email? Do you get an error message?,general_inquiry
1757774,Can @115858 get it together with that damn question mark box! I️ think Steve Jobs would not like this shit.,@529203 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,ios_software_issue
