author_id,support_tweets,replies
AmazonHelp,169840,169287
AppleSupport,106860,106719
Uber_Support,56270,56261
SpotifyCares,43265,43243
Delta,42253,42197
Tesco,38573,38501
AmericanAir,36764,36598
TMobileHelp,34317,34287
comcastcares,33031,33007
British_Airways,29361,29315
SouthwestAir,28977,28889
VirginTrains,27817,27522
Ask_Spectrum,25860,25807
XboxSupport,24557,24341
sprintcare,22381,22335
hulu_support,21872,21783
sainsburys,19466,19417
GWRHelp,19364,19294
AskPlayStation,19098,18694
ChipotleTweets,18749,18612
VerizonSupport,17966,17851
UPSHelp,17817,17772
ATVIAssist,17650,17531
O2,16212,16091
Safaricom_Care,16077,15471
idea_cares,15724,15617
AskTarget,13218,13218
AirAsiaSupport,12829,12735
BofA_Help,12683,12654
SW_Help,12231,11792
ArgosHelpers,12174,12053
AskLyft,11809,11795
marksandspencer,11504,11460
AskAmex,11358,11111
MicrosoftHelps,11304,11223
AskPayPal,11298,11270
Morrisons,10126,10028
AdobeCare,9917,9888
airtel_care,9881,9869
AskeBay,9686,9624
AirbnbHelp,8875,8868
ChaseSupport,8811,8714
McDonalds,8478,8429
AldiUK,8114,7927
JetBlue,8020,7972
CoxHelp,7861,7836
Ask_WellsFargo,7578,7564
AzureSupport,7565,7484
AlaskaAir,7478,7428
HPSupport,7200,7181
LondonMidland,6822,6525
GloCare,6308,6304
DropboxSupport,5954,5941
DellCares,5336,5245
GreggsOfficial,4522,4495
nationalrailenq,4444,4147
VirginAtlantic,4318,4299
TacoBellTeam,4082,4082
AskCiti,4081,4037
AskPapaJohns,3908,3904
CenturyLinkHelp,3801,3797
NikeSupport,3468,3414
Postmates_Help,3346,3344
VirginAmerica,2815,2805
ATT,2790,2719
Walmart,2643,2615
IHGService,2643,2628
TfL,2243,2221
askpanera,2153,2153
KFC_UKI_Help,2103,2101
NortonSupport,2011,1999
GoDaddyHelp,1965,1953
ArbysCares,1904,1904
AsurionCares,1898,1850
DoorDash_Help,1581,1575
sizehelpteam,1482,1475
VMUcare,1381,1352
Kimpton,1339,1283
SCsupport,1329,1250
DunkinDonuts,1290,1278
TwitterSupport,1290,1278
USCellularCares,1177,1177
NeweggService,1079,1067
PandoraSupport,1043,1022
AWSSupport,1035,1034
AskRBC,1011,1011
AskVirginMoney,914,908
BoostCare,907,905
YahooCare,906,876
OPPOCareIN,879,869
PearsonSupport,841,828
HiltonHelp,833,830
GooglePlayMusic,804,803
MTNC_Care,784,775
AskTigogh,715,714
asksalesforce,710,707
askvisa,709,709
AskSeagate,639,639
MOO,630,616
ask_progressive,612,612
KeyBank_Help,555,554
AskRobinhood,432,430
mediatemplehelp,305,302
JackBox,266,255
OfficeSupport,218,216
AskDSC,210,210
CarlsJr,196,183
HotelTonightCX,152,152
